Data,Valor,Identificador,Descrição
31/12/21,"0,05",,Rendimento Dinheiro Conta Nubank 
31/01/22,"0,16",,Rendimento Dinheiro Conta Nubank 
28/02/22,"0,1",,Rendimento Dinheiro Conta Nubank 
31/03/22,"3,29",,Rendimento Dinheiro Conta Nubank 
30/04/22,"4,44",,Rendimento Dinheiro Conta Nubank 
31/05/22,"9,83",,Rendimento Dinheiro Conta Nubank 
30/06/22,"15,02",,Rendimento Dinheiro Conta Nubank 
31/07/22,"14,6",,Rendimento Dinheiro Conta Nubank 
31/08/22,"18,38",,Rendimento Dinheiro Conta Nubank 
30/09/22,"18,4",,Rendimento Dinheiro Conta Nubank 
31/10/22,"12,92",,Rendimento Dinheiro Conta Nubank 
30/11/22,17,,Rendimento Dinheiro Conta Nubank 
31/12/22,"10,18",,Rendimento Dinheiro Conta Nubank 
31/01/23,0,,Rendimento Dinheiro Conta Nubank 
28/02/23,0,,Rendimento Dinheiro Conta Nubank 
31/03/23,0,,Rendimento Dinheiro Conta Nubank 
30/04/23,0,,Rendimento Dinheiro Conta Nubank 
31/05/23,0,,Rendimento Dinheiro Conta Nubank 
30/06/23,0,,Rendimento Dinheiro Conta Nubank 
31/07/23,0,,Rendimento Dinheiro Conta Nubank 
31/08/23,"0,24",,Rendimento Dinheiro Conta Nubank 
30/09/23,0,,Rendimento Dinheiro Conta Nubank 
31/10/23,0,,Rendimento Dinheiro Conta Nubank 
30/11/23,0,,Rendimento Dinheiro Conta Nubank 
31/12/23,0,,Rendimento Dinheiro Conta Nubank 
31/01/24,0,,Rendimento Dinheiro Conta Nubank 
29/02/24,0,,Rendimento Dinheiro Conta Nubank 
31/03/24,0,,Rendimento Dinheiro Conta Nubank 
30/04/24,"12,66",,Rendimento Dinheiro Conta Nubank 
31/05/24,0,,Rendimento Dinheiro Conta Nubank 
30/06/24,0,,Rendimento Dinheiro Conta Nubank 
