date,category,title,amount
2023-05-30,transporte,Uber *Uber *Trip,8.94
2023-05-30,restaurante,Churrascaria Cidade No,21.41
2023-05-30,transporte,Uber *Uber *Trip,8.90
2023-05-29,lazer,Pag*Tabacaria,4.00
2023-05-27,supermercado,Padaria Pao Divino,15.77
2023-05-25,transporte,Posto Cruzeiro do Sul,30.00
2023-05-25,transporte,Uber *Uber *Trip,8.90
2023-05-24,supermercado,Padaria Pao Divino,12.80
2023-05-24,supermercado,Padaria Pao Divino,9.00
2023-05-23,transporte,Uber *Uber *Trip,6.82
2023-05-23,transporte,Uber *Uber *Trip,8.98
2023-05-21,casa,Villefort Jardim Indus,69.90
2023-05-21,restaurante,Pag*Claudiobare,42.50
2023-05-21,supermercado,Big Mercearia e Comerc,11.00
2023-05-20,supermercado,Padaria Pao Divino,6.50
2023-05-19,casa,Ponto do Riacho,35.00
2023-05-18,restaurante,Ifood *Ifd*Umbigo do,24.99
2023-05-17,transporte,Posto Paulistinha,30.00
2023-05-16,charge,Hotmart,1.03
2023-05-16,supermercado,Doce Docinho,1.75
2023-05-16,transporte,Abastec*Abastece Ai,30.00
2023-05-14,casa,Pag*Mepayfinancial,40.00
2023-05-13,serviços,Rogel Ribeiro Maia,9.00
2023-05-13,transporte,Posto Abasteca Aqui Ba,30.00
2023-05-12,transporte,Abastec*Abastece Ai,40.00
2023-05-12,restaurante,Padaria Pao Divino,9.50
2023-05-12,charge,ROGEL RIBEIRO MAIA,1.56
2023-05-11,transporte,Posto Cruzeiro do Sul,30.00
2023-05-11,outros,Mp *Hotdogbruttus,50.00
2023-05-11,supermercado,Ana Carolina de Olivei,25.00
2023-05-11,outros,Mp *Hotdogbruttus,14.00
2023-05-09,supermercado,Padaria Pao Divino,8.50
2023-05-09,restaurante,Ifood *Ifd*Umbigo do,5.89
2023-05-07,charge,DAWIDSON ALMEIDA PIRES,20.93
2023-05-06,transporte,Abastec*Abastece Ai,100.00
2023-05-04,payment,Pagamento recebido,-898.91
2023-05-01,transporte,Posto Cruzeiro do Sul,70.00
2023-04-30,transporte,Abastec*Abastece Ai,30.00
2023-04-30,serviços,Cartola Pro 3/4,12.47
2023-04-30,supermercado,Mureta Choperia,13.00
