DATA,VALOR,DESCRIÇÃO,CATEGORIA,OPERAÇÃO,MOVIMENTAÇÃO,ARCHIVE
2023-01-31,483,Autoonze,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-08-18,"466,38",Bh Car Viaduto,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2023-08-31,"466,37",Bh Car Viaduto 2/3,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-09-30,"466,37",Bh Car Viaduto 3/3,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2024-01-19,"273,35",Mp *Autoonze,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-01-31,"273,33",Mp *Autoonze 2/6,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-02-29,"273,33",Mp *Autoonze 3/6,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-03-31,"273,33",Mp *Autoonze 4/6,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-30,"273,33",Mp *Autoonze 5/6,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-05-31,"273,33",Mp *Autoonze 6/6,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2024-05-28,"266,23",Auto Posto Thabor,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-05-09,255,Still Escapamentos,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-02-11,"254,81",Supermercado Super Lun,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2022-11-20,"231,68",Danilus Bar,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2024-04-26,230,Pg *Ton Tec Word,Papelaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-05-03,"208,78",Auto Posto Atencioso L,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
